2020-01-11 20:26:16,b'RT @Indhapuspitasa1: Open boking \n#lombok #MATARAM #sumbawa #manado  #palopo #kendari\n#openBO #cewek #bisyar #panggilan #bispak  #open # #a\xe2\x80\xa6'
2020-01-11 14:11:19,b'Open bo kota mataram\n#banjarmasin #banjarbaru #balangan #banjar #baritokuala #kotabaru #tabalong #tanahbumbu\xe2\x80\xa6 https://t.co/QpRGeyJebd'
2020-01-11 14:00:31,b'Lombok \n#travel #travelphotography #ocean #indo #Paradise #lombok #guide #explore https://t.co/N2nwuaZymn'
2020-01-11 13:32:45,b'Open boking \n#lombok #MATARAM #sumbawa #manado  #palopo #kendari\n#openBO #cewek #bisyar #panggilan #bispak  #open #\xe2\x80\xa6 https://t.co/bQeiO9lUS1'
2020-01-11 12:00:04,b'Tiket promo #Airasia di bulan Januari - #Bali ke #Lombok (Indonesia) hanya Rp 231.000 - https://t.co/9P3SB2hdzM'
2020-01-11 08:36:33,b'Agen penyalur gigolo dan brondong ke tante girang Dibutuhkan bayak\nDm aja #indonesia #streaming #ngentot #stw\xe2\x80\xa6 https://t.co/CZUN3CuSz0'
2020-01-11 08:09:39,b'Pariwisata Indonesia\xe2\x80\x94Hai Gaaees!\n\nKalo kamu lagi jalan-jalan ke Pulau Lombok. mampir aja ke Bukit Pergasingan.\n\nTer\xe2\x80\xa6 https://t.co/fzdZkvM8fu'
2020-01-11 07:34:15,"b'jalan2 ke luar negeri ,,\nOgah,,\ndilombok(indonesia) aja keren kayak gini.\nngapain ke luar negeri \xf0\x9f\x98\x82\n#BukitMalimbu\xe2\x80\xa6 https://t.co/T2pkQFzIOg'"
2020-01-11 07:22:36,"b'Selain Suka Alam,\nAku Juga Suka Kamu..\n#Lombok\n#SetorFotoPio https://t.co/sAhpV2CtmX'"
2020-01-11 06:12:42,b'siapa yang butuh temen malam minggu??\n\n#mataram\n#lombok\n#party\n#malamminggu'
2020-01-11 05:07:40,b'Karyanya anak2 muda #Lombok\nMade ini #BucuGallery \n\n#NTBBangkit \n#IteBesemeton \n\nHub 081805702720\nnuryantitadjuddin\xe2\x80\xa6 https://t.co/vxq4fFPrqa'
2020-01-11 03:51:45,"b'Menikmati sensasi private beach di Pantai Mawun, Lombok https://t.co/KMqyOVUmU3\n\n#Pantai #PantaiMawun #Lombok #Liburan #Travel #Wisata'"
2020-01-11 01:00:03,b'#Lombok ke #Bali (Indonesia) - tiket promo dari #Airasia - hanya Rp 191.000 di bulan Januari - https://t.co/9P3SB2hdzM'
2020-01-10 15:42:21,"b'Super Murah, PENINGGI BADAN TIENS, harga distributor INVIT 29A2D527. SMS 085642236122 #Medan #Sumatera #lombok #Retwe ##InfoJatim #Retweet'"
